Commodity,date,Cash_Settlement,Three_month,LME_stock,Year,Month,Quarter
Copper,11-Jun-08,7989,7841,121275,2008,Jun,Qtr2
Copper,12-Jun-08,7955,7815,120625,2008,Jun,Qtr2
Copper,13-Jun-08,8025,7865,121175,2008,Jun,Qtr2
Copper,16-Jun-08,8255,8040,122050,2008,Jun,Qtr2
Nickel,17-Jun-08,23500,23750,46998,2008,Jun,Qtr2
Copper,17-Jun-08,8181,8042.5,123550,2008,Jun,Qtr2
Aluminium,17-Jun-08,2934,2982,1069275,2008,Jun,Qtr2
Nickel,18-Jun-08,23610,23800,46818,2008,Jun,Qtr2
Copper,18-Jun-08,8296,8126,123900,2008,Jun,Qtr2
Aluminium,18-Jun-08,3026,3074,1077300,2008,Jun,Qtr2
Nickel,19-Jun-08,22605,22650,46776,2008,Jun,Qtr2
Copper,19-Jun-08,8385.5,8228,124225,2008,Jun,Qtr2
Aluminium,19-Jun-08,3035,3085,1078325,2008,Jun,Qtr2
Nickel,20-Jun-08,22505,22650,46860,2008,Jun,Qtr2
Copper,20-Jun-08,8590,8421,124000,2008,Jun,Qtr2
Aluminium,20-Jun-08,3090.5,3137,1077975,2008,Jun,Qtr2
Nickel,23-Jun-08,22150,22325,46734,2008,Jun,Qtr2
Copper,23-Jun-08,8540.5,8385,123125,2008,Jun,Qtr2
Aluminium,23-Jun-08,3076,3129,1083925,2008,Jun,Qtr2
Nickel,24-Jun-08,21605,21895,46296,2008,Jun,Qtr2
Copper,24-Jun-08,8491.5,8341,123150,2008,Jun,Qtr2
Aluminium,24-Jun-08,3064.5,3113,1084800,2008,Jun,Qtr2
Nickel,25-Jun-08,21530,21705,46218,2008,Jun,Qtr2
Copper,25-Jun-08,8542,8374,122625,2008,Jun,Qtr2
Aluminium,25-Jun-08,3038.5,3088,1093300,2008,Jun,Qtr2
Nickel,26-Jun-08,21905,22200,46128,2008,Jun,Qtr2
Copper,26-Jun-08,8551,8388,123050,2008,Jun,Qtr2
Aluminium,26-Jun-08,3024.5,3075.5,1091325,2008,Jun,Qtr2
Nickel,27-Jun-08,21600,21850,46482,2008,Jun,Qtr2
Copper,27-Jun-08,8680,8500,122900,2008,Jun,Qtr2
Aluminium,27-Jun-08,3052.5,3102.5,1094150,2008,Jun,Qtr2
Nickel,30-Jun-08,21675,21825,46536,2008,Jun,Qtr2
Copper,30-Jun-08,8775.5,8585,122600,2008,Jun,Qtr2
Aluminium,30-Jun-08,3075,3122,1092525,2008,Jun,Qtr2
Nickel,1-Jul-08,21735,21950,46692,2008,Jul,Qtr3
Copper,1-Jul-08,8711,8550.5,122350,2008,Jul,Qtr3
Aluminium,1-Jul-08,3086,3135.5,1093175,2008,Jul,Qtr3
Nickel,2-Jul-08,21275,21505,46860,2008,Jul,Qtr3
Copper,2-Jul-08,8750.5,8595,122475,2008,Jul,Qtr3
Aluminium,2-Jul-08,3084,3134,1091925,2008,Jul,Qtr3
Nickel,3-Jul-08,20965,21150,47058,2008,Jul,Qtr3
Copper,3-Jul-08,8985,8812,122500,2008,Jul,Qtr3
Aluminium,3-Jul-08,3158,3208,1090225,2008,Jul,Qtr3
Nickel,4-Jul-08,20400,20650,47016,2008,Jul,Qtr3
Copper,4-Jul-08,8661,8501,122575,2008,Jul,Qtr3
Aluminium,4-Jul-08,3090,3155,1088175,2008,Jul,Qtr3
Nickel,7-Jul-08,20530,20615,46968,2008,Jul,Qtr3
Copper,7-Jul-08,8565,8410,122075,2008,Jul,Qtr3
Aluminium,7-Jul-08,3187,3233,1087075,2008,Jul,Qtr3
Nickel,8-Jul-08,20615,20800,46956,2008,Jul,Qtr3
Copper,8-Jul-08,8540,8370,122175,2008,Jul,Qtr3
Aluminium,8-Jul-08,3220,3271,1088750,2008,Jul,Qtr3
Nickel,9-Jul-08,20510,20725,46818,2008,Jul,Qtr3
Copper,9-Jul-08,8355,8200,124325,2008,Jul,Qtr3
Aluminium,9-Jul-08,3077,3127,1089250,2008,Jul,Qtr3
Nickel,10-Jul-08,21880,22005,46686,2008,Jul,Qtr3
Copper,10-Jul-08,8423,8279,124850,2008,Jul,Qtr3
Aluminium,10-Jul-08,3271.5,3322.5,1088675,2008,Jul,Qtr3
